orig_sbg_num,remaining_orig_sbg,cur_sbg_num,members_cur_sbg,sbg_status,sbg_reorg_cnt,pri_role,sec_role,cur_status,reorged_cnt,payable,defector_cnt,cur_month_balance,cur_month_premium,cur_month_1st_calc,cur_month_sec_cals,total_value_refunds,wallet_balance,wallet_claim_award,wallet_no_claim_refund,wallet_reorg_refund,credit_to_savings_account,prior_premiums,debit_to_savings_account
1,4,1,4,valid,0,unity-role,dependent,paid,0,yes,0,21.179183135704875,0,18.181818181818183,"[16.666666666666668, 21.181818181818183, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",21.181818181818183,0,0,0,16.666666666666668,[18.181818181818183],"[3.0303030303030307, 2.997364953886693, 0, 0, 0, 0, 0, 0, 0, 0]"
1,4,1,4,valid,0,unity-role,dependent,paid,0,yes,0,21.179183135704875,0,18.181818181818183,"[16.666666666666668, 21.181818181818183, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",21.181818181818183,0,0,0,16.666666666666668,[18.181818181818183],"[3.0303030303030307, 2.997364953886693, 0, 0, 0, 0, 0, 0, 0, 0]"
1,4,1,4,valid,0,low-morale,dependent,paid,0,yes,1,21.179183135704875,0,18.181818181818183,"[16.666666666666668, 21.181818181818183, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",21.181818181818183,0,0,0,16.666666666666668,[18.181818181818183],"[3.0303030303030307, 2.997364953886693, 0, 0, 0, 0, 0, 0, 0, 0]"
1,4,1,4,valid,0,low-morale,dependent,paid,0,yes,0,21.179183135704875,0,18.181818181818183,"[16.666666666666668, 21.181818181818183, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",21.181818181818183,0,0,0,16.666666666666668,[18.181818181818183],"[3.0303030303030307, 2.997364953886693, 0, 0, 0, 0, 0, 0, 0, 0]"
2,4,2,4,valid,0,low-morale,dependent,paid,0,yes,0,21.179183135704875,0,18.181818181818183,"[16.666666666666668, 21.181818181818183, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",21.181818181818183,0,0,0,16.666666666666668,[18.181818181818183],"[3.0303030303030307, 2.997364953886693, 0, 0, 0, 0, 0, 0, 0, 0]"
2,4,2,4,valid,0,unity-role,dependent,paid,0,yes,0,21.179183135704875,0,18.181818181818183,"[16.666666666666668, 21.181818181818183, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",21.181818181818183,0,0,0,16.666666666666668,[18.181818181818183],"[3.0303030303030307, 2.997364953886693, 0, 0, 0, 0, 0, 0, 0, 0]"
2,4,2,4,valid,0,unity-role,dependent,paid,0,yes,0,21.179183135704875,0,18.181818181818183,"[16.666666666666668, 21.181818181818183, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",21.181818181818183,0,0,0,16.666666666666668,[18.181818181818183],"[3.0303030303030307, 2.997364953886693, 0, 0, 0, 0, 0, 0, 0, 0]"
2,4,2,4,valid,0,low-morale,dependent,paid,0,yes,1,21.179183135704875,0,18.181818181818183,"[16.666666666666668, 21.181818181818183, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",21.181818181818183,0,0,0,16.666666666666668,[18.181818181818183],"[3.0303030303030307, 2.997364953886693, 0, 0, 0, 0, 0, 0, 0, 0]"
3,4,3,4,valid,0,unity-role,independent,paid,0,yes,0,21.179183135704875,0,18.181818181818183,"[16.666666666666668, 21.181818181818183, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",21.181818181818183,0,0,0,16.666666666666668,[18.181818181818183],"[3.0303030303030307, 2.997364953886693, 0, 0, 0, 0, 0, 0, 0, 0]"
3,4,3,4,valid,0,unity-role,independent,paid,0,yes,0,21.179183135704875,0,18.181818181818183,"[16.666666666666668, 21.181818181818183, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",21.181818181818183,0,0,0,16.666666666666668,[18.181818181818183],"[3.0303030303030307, 2.997364953886693, 0, 0, 0, 0, 0, 0, 0, 0]"
3,4,0,0,NR,0,unity-role,dependent,NR,0,NR,0,0,0,18.181818181818183,"[16.666666666666668, 21.181818181818183, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",21.181818181818183,0,0,0,16.666666666666668,[18.181818181818183],"[3.0303030303030307, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
